Date,NSW,VIC,QLD,SA,WA,TAS,ACT,NT,AUS
2021-02-24,,,,,,,,,
2021-02-25,2300.0,808.0,415.0,338.0,441.0,424.0,274.0,0.0,10592.0
2021-02-26,2000.0,839.0,435.0,310.0,413.0,352.0,254.0,493.0,7500.0
2021-02-27,0.0,711.0,653.0,318.0,645.0,0.0,202.0,0.0,5000.0
2021-02-28,0.0,149.0,0.0,110.0,285.0,0.0,0.0,0.0,1894.0
2021-03-01,2839.0,100.0,0.0,149.0,295.0,6.0,-2.0,167.0,1808.0
2021-03-02,2085.0,1158.0,980.0,290.0,-17.0,0.0,195.0,237.0,8205.0
2021-03-03,2176.0,1656.0,1202.0,406.0,657.0,335.0,146.0,253.0,8933.0
2021-03-04,2205.0,1969.0,1197.0,356.0,827.0,470.0,244.0,350.0,10168.0
2021-03-05,3089.0,2262.0,1125.0,380.0,1200.0,357.0,194.0,252.0,10859.0
2021-03-06,0.0,1944.0,1474.0,393.0,1070.0,0.0,192.0,0.0,5073.0
2021-03-07,0.0,727.0,292.0,130.0,256.0,0.0,0.0,0.0,4405.0
2021-03-08,1869.0,844.0,0.0,120.0,968.0,0.0,2.0,226.0,5024.0
2021-03-09,2160.0,1072.0,1792.0,119.0,1449.0,0.0,206.0,283.0,8539.0
2021-03-10,3077.0,2831.0,1904.0,450.0,2084.0,386.0,225.0,335.0,11292.0
2021-03-11,4313.0,3992.0,1993.0,597.0,2125.0,542.0,305.0,386.0,18800.0
2021-03-12,0.0,3631.0,2131.0,951.0,2454.0,406.0,338.0,192.0,10103.0
2021-03-13,5507.0,4350.0,2291.0,768.0,1740.0,6.0,338.0,257.0,24191.0
2021-03-14,0.0,904.0,294.0,534.0,699.0,0.0,0.0,0.0,3257.0
2021-03-15,733.0,606.0,0.0,148.0,557.0,186.0,0.0,0.0,2230.0
2021-03-16,3891.0,3474.0,3156.0,1028.0,1602.0,763.0,506.0,196.0,17656.0
2021-03-17,5376.0,3666.0,3312.0,1531.0,2394.0,1149.0,504.0,381.0,21120.0
2021-03-18,4787.0,4041.0,3360.0,1531.0,2559.0,950.0,502.0,377.0,22500.0
2021-03-19,0.0,4742.0,3994.0,1599.0,2631.0,916.0,504.0,311.0,14697.0
2021-03-20,0.0,4552.0,4177.0,1090.0,2437.0,0.0,522.0,299.0,13077.0
2021-03-21,0.0,1398.0,121.0,314.0,941.0,414.0,0.0,0.0,3188.0
2021-03-22,13277.0,1342.0,177.0,551.0,603.0,222.0,635.0,0.0,25165.0
2021-03-23,8059.0,4486.0,3868.0,1323.0,2389.0,576.0,448.0,288.0,25341.0
2021-03-24,0.0,4385.0,4198.0,1512.0,2186.0,1011.0,529.0,308.0,47729.0
2021-03-25,0.0,5698.0,4394.0,1504.0,2569.0,1153.0,522.0,507.0,53156.0
2021-03-26,16253.0,6034.0,4431.0,1577.0,2406.0,721.0,528.0,392.0,51745.0
2021-03-27,7077.0,5072.0,4546.0,1440.0,2383.0,0.0,533.0,333.0,46310.0
2021-03-28,0.0,3512.0,491.0,225.0,494.0,0.0,333.0,0.0,5055.0
2021-03-29,0.0,2072.0,196.0,290.0,549.0,1363.0,317.0,116.0,30241.0
2021-03-30,3727.0,6483.0,6003.0,1358.0,2610.0,659.0,535.0,337.0,55762.0
2021-03-31,0.0,6300.0,6813.0,1390.0,3030.0,1327.0,538.0,425.0,72826.0
2021-04-01,17400.0,8457.0,7592.0,1488.0,2751.0,0.0,542.0,488.0,73979.0
2021-04-02,6956.0,7555.0,7686.0,1314.0,2855.0,0.0,0.0,370.0,79283.0
2021-04-03,839.0,910.0,1028.0,277.0,312.0,0.0,1069.0,0.0,4805.0
2021-04-04,1299.0,247.0,34.0,145.0,223.0,2434.0,348.0,0.0,14766.0
2021-04-05,32.0,443.0,0.0,174.0,146.0,0.0,332.0,0.0,1127.0
2021-04-06,813.0,1023.0,1068.0,422.0,446.0,0.0,664.0,70.0,10674.0
2021-04-07,6984.0,6059.0,5412.0,1380.0,2301.0,0.0,671.0,311.0,65351.0
2021-04-08,6228.0,5778.0,5536.0,1900.0,2532.0,2239.0,689.0,572.0,75811.0
2021-04-09,175636.0,131513.0,122586.0,47862.0,51234.0,20446.0,13915.0,4517.0,81366.0
2021-04-10,19083.0,13256.0,12850.0,6083.0,5142.0,2792.0,1300.0,849.0,61355.0
2021-04-11,7045.0,7408.0,5261.0,2009.0,3045.0,1898.0,1002.0,34.0,27702.0
2021-04-12,2003.0,3528.0,2259.0,1173.0,1054.0,669.0,1022.0,26.0,11734.0
2021-04-13,17588.0,13094.0,11486.0,4542.0,5819.0,1813.0,1384.0,653.0,56379.0
2021-04-14,20781.0,14382.0,11363.0,4733.0,5409.0,2313.0,1211.0,799.0,60991.0
2021-04-15,20451.0,14581.0,13013.0,6083.0,5686.0,2133.0,1327.0,719.0,63993.0
2021-04-16,19342.0,14182.0,12850.0,4985.0,5524.0,2271.0,1143.0,615.0,60912.0
2021-04-17,17916.0,13009.0,10157.0,4427.0,5106.0,1570.0,1048.0,748.0,53981.0
2021-04-18,6843.0,5283.0,3584.0,1736.0,2622.0,1110.0,1129.0,47.0,22354.0
2021-04-19,21585.0,18777.0,34847.0,2834.0,11061.0,35.0,368.0,137.0,89644.0
2021-04-20,19933.0,16705.0,13373.0,5278.0,7222.0,1906.0,1733.0,580.0,66730.0
