ACT,AUS,NSW,NT,QLD,SA,TAS,VIC,WA
0.01,0.01,0.02,0.04,,0.01,0.02,0.01,0.01
0.06,0.03,0.04,0.04,0.01,0.02,0.07,0.02,0.03
0.12,0.07,0.07,0.04,0.02,0.04,0.15,0.03,0.05
0.18,0.1,0.09,0.24,0.03,0.06,0.21,0.04,0.06
0.23,0.12,0.09,0.24,0.04,0.08,0.21,0.05,0.09
0.23,0.12,0.09,0.24,0.04,0.08,0.21,0.06,0.1
0.23,0.13,0.13,0.3,0.04,0.09,0.22,0.06,0.11
0.27,0.16,0.15,0.4,0.06,0.11,0.22,0.08,0.11
0.31,0.2,0.18,0.5,0.08,0.13,0.28,0.1,0.13
0.36,0.24,0.21,0.64,0.1,0.15,0.36,0.13,0.16
0.41,0.28,0.24,0.75,0.13,0.17,0.43,0.16,0.21
0.45,0.3,0.24,0.75,0.15,0.2,0.43,0.19,0.25
0.45,0.32,0.24,0.75,0.16,0.2,0.43,0.2,0.26
0.45,0.34,0.27,0.84,0.16,0.21,0.43,0.22,0.29
0.5,0.37,0.29,0.95,0.19,0.22,0.43,0.23,0.35
0.55,0.41,0.33,1.09,0.23,0.24,0.5,0.27,0.43
0.62,0.49,0.38,1.25,0.27,0.28,0.6,0.33,0.51
0.7,0.53,0.38,1.32,0.31,0.33,0.68,0.39,0.6
0.78,0.62,0.45,1.43,0.36,0.37,0.68,0.45,0.66
0.78,0.63,0.45,1.43,0.36,0.4,0.68,0.47,0.69
0.78,0.64,0.46,1.43,0.36,0.41,0.71,0.48,0.71
0.9,0.71,0.51,1.51,0.42,0.47,0.85,0.53,0.77
1.01,0.79,0.57,1.66,0.49,0.56,1.07,0.58,0.86
1.13,0.88,0.63,1.81,0.55,0.64,1.24,0.64,0.96
1.25,0.94,0.63,1.94,0.63,0.73,1.41,0.71,1.05
1.37,0.99,0.63,2.06,0.71,0.79,1.41,0.78,1.15
1.37,1.0,0.63,2.06,0.71,0.81,1.49,0.8,1.18
1.52,1.1,0.79,2.06,0.71,0.84,1.53,0.82,1.2
1.62,1.2,0.89,2.18,0.79,0.92,1.63,0.89,1.29
1.74,1.38,0.89,2.3,0.87,1.0,1.82,0.96,1.38
1.86,1.59,0.89,2.51,0.95,1.09,2.03,1.04,1.47
1.99,1.79,1.09,2.67,1.04,1.18,2.17,1.13,1.56
2.11,1.97,1.18,2.8,1.13,1.26,2.17,1.21,1.65
2.19,1.99,1.18,2.8,1.14,1.27,2.17,1.26,1.67
2.26,2.11,1.18,2.85,1.14,1.29,2.42,1.29,1.69
2.38,2.33,1.22,2.99,1.26,1.36,2.54,1.39,1.79
2.51,2.61,1.22,3.16,1.39,1.44,2.79,1.48,1.9
2.63,2.9,1.44,3.36,1.53,1.53,2.79,1.61,2.01
2.63,3.21,1.52,3.51,1.68,1.6,2.79,1.72,2.11
2.88,3.22,1.53,3.51,1.7,1.62,2.79,1.74,2.12
2.96,3.28,1.55,3.51,1.7,1.62,3.24,1.74,2.13
3.04,3.29,1.55,3.51,1.7,1.63,3.24,1.75,2.14
3.19,3.33,1.56,3.54,1.72,1.66,3.24,1.76,2.15
3.35,3.58,1.64,3.66,1.83,1.74,3.24,1.85,2.24
3.51,3.88,1.72,3.89,1.93,1.84,3.65,1.94,2.34
6.74,4.19,3.87,5.73,4.3,4.55,7.43,3.91,4.26
7.04,4.43,4.11,6.07,4.55,4.89,7.94,4.11,4.45
7.27,4.54,4.19,6.09,4.65,5.0,8.3,4.22,4.56
7.51,4.59,4.22,6.1,4.69,5.07,8.42,4.27,4.6
7.83,4.81,4.43,6.36,4.91,5.33,8.75,4.47,4.82
8.11,5.04,4.69,6.68,5.13,5.59,9.18,4.68,5.02
8.42,5.29,4.94,6.98,5.38,5.94,9.58,4.9,5.24
8.68,5.53,5.17,7.23,5.63,6.22,10.0,5.11,5.44
8.93,5.74,5.39,7.53,5.83,6.47,10.29,5.31,5.64
9.19,5.83,5.48,7.55,5.9,6.57,10.49,5.39,5.73
9.27,6.18,5.74,7.6,6.57,6.73,10.5,5.67,6.15
9.67,6.43,5.98,7.84,6.83,7.02,10.85,5.92,6.42
10.01,6.69,6.24,8.1,7.08,7.3,11.24,6.14,6.67
10.3,6.95,6.5,8.45,7.34,7.58,11.64,6.4,6.92
10.54,7.22,6.74,8.82,7.65,7.85,12.07,6.68,7.15
10.85,7.45,6.96,9.08,7.9,8.1,12.33,6.88,7.39
11.06,7.53,7.03,9.09,7.96,8.15,12.47,6.98,7.47
11.18,7.54,7.03,9.09,7.97,8.16,12.5,7.0,7.49
11.33,7.66,7.2,9.1,8.0,8.22,12.79,7.17,7.55
11.63,7.9,7.41,9.3,8.24,8.45,13.13,7.43,7.78
12.07,8.22,7.72,9.58,8.56,8.78,13.6,7.74,8.11
12.35,8.48,7.96,9.87,8.84,9.08,13.95,7.99,8.39
12.61,8.7,8.17,10.17,9.05,9.34,14.22,8.18,8.63
12.78,8.77,8.23,10.18,9.12,9.43,14.37,8.25,8.74
12.87,8.8,8.24,10.2,9.13,9.46,14.41,8.28,8.79
13.27,9.02,8.46,10.09,9.17,9.74,14.91,8.57,9.09
13.64,9.33,8.73,10.4,9.46,10.05,15.32,8.93,9.4
13.97,9.63,9.0,10.79,9.75,10.38,15.57,9.27,9.71
14.31,9.94,9.27,11.24,10.06,10.7,15.91,9.63,10.03
14.69,10.23,9.54,11.58,10.34,11.03,16.34,9.91,10.31
14.95,10.33,9.63,11.62,10.4,11.14,16.58,10.03,10.45
15.08,10.37,9.64,11.63,10.44,11.17,16.6,10.08,10.5
15.53,10.65,9.9,12.04,10.68,11.44,16.96,10.41,10.8
15.82,10.95,10.2,12.45,10.95,11.74,17.35,10.7,11.09
16.16,11.27,10.52,12.85,11.23,12.1,17.7,11.05,11.37
